author,published_at,like_count,text
@balagopalbalu6198,2026-09-06T07:28:38Z,0,Release date please..Waiting to watch this in theatre 🙌
@vineeshgeorge9589,2026-09-06T07:28:00Z,0,ശ്രീനാഥ് ഭാസിയുടെ performance തീർച്ചയായും ശ്രദ്ധിക്കപ്പെടും 🔥
@BabuKumar-rx1ol,2026-09-06T07:27:33Z,0,Teaser കണ്ടപ്പോൾ ഒരു feel-good entertainer ആണെന്ന് തോന്നുന്നു ❤️
@KiranKiran-dt3cs,2026-09-06T07:27:03Z,0,Credit Score… title തന്നെ interesting ആണ് 👀
@shishirashishi379,2026-09-06T07:26:30Z,0,സിനിമയുടെ റിലീസ് date അറിയാനുള്ള ആകാംക്ഷയായി 🔥
@isahaqissa1570,2026-09-06T07:26:00Z,0,"Teaser looks clean, colourful and interesting"
@varunjosaph3298,2026-09-06T07:23:33Z,0,ശ്രീനാഥ് ഭാസി ഉള്ള സിനിമകൾക്ക് ഒരു പ്രത്യേക vibe തന്നെയുണ്ട് ❤️
@vijithamahesh5268,2026-09-06T07:22:57Z,0,"ടീസർ കണ്ടു ഇഷ്ടപ്പെട്ടു, ഇനി തീയേറ്ററിൽ കാണാൻ കാത്തിരിക്കുന്നു"
@sabusebastian1044,2026-09-06T07:22:13Z,0,Bhasi fans definitely waiting for this one 🔥
@niyasashraf6005,2026-09-06T07:21:43Z,0,A promising teaser with a fresh vibe ❤️
@alextomas8915,2026-09-06T07:21:10Z,0,ശ്രീനാഥ് ഭാസിയുടെ performance കാണാൻ excited ആണ്
@manulal-b8x,2026-09-06T07:20:44Z,0,Teaser നല്ലൊരു curiosity create ചെയ്തിട്ടുണ്ട് 👌
@seviarjohn8013,2026-09-06T07:20:18Z,0,റിലീസ് എപ്പോൾ?
@jeeva-w6d,2026-09-06T07:19:52Z,0,Credit Score looks interesting and different
@jansydaniel352,2026-09-06T07:19:21Z,0,ശ്രീനാഥ് ഭാസിയുടെ dialogue delivery 🔥🔥
@izinesiddique1243,2026-09-06T07:18:57Z,0,ഈ ടീസർ കണ്ടിട്ട് movie കാണാനുള്ള ആഗ്രഹം കൂടി
@syam4993,2026-09-06T07:18:28Z,0,Bhasi ❤️ always brings something different to the screen.
@adilsalman1182,2026-09-06T07:18:01Z,1,Teaser കണ്ടപ്പോൾ സിനിമയ്ക്ക് നല്ലൊരു feel ഉണ്ടെന്ന് തോന്നുന്നു.
@avani6165,2026-09-06T07:17:31Z,1,ശ്രീനാഥ് ഭാസി ഉള്ളത് തന്നെ ഒരു extra attraction ആണ് ❤️
@satheeshks5743,2026-09-06T07:17:01Z,0,release date?
@manjumanoj6025,2026-09-06T07:16:25Z,0,Teaser music and visuals എല്ലാം nice
@savyasavi8178,2026-09-06T07:15:53Z,0,"നല്ലൊരു concept പോലെ തോന്നുന്നു, waiting eagerly"
@salinisalu7140,2026-09-06T07:14:52Z,0,Bhasi യുടെ expressions തന്നെ enough to create curiosity ❤️
@shajahanshaju5234,2026-09-06T07:07:03Z,0,Credit Score looks fresh and promising 👌
@maheshmadusoothanan1560,2026-09-06T07:06:39Z,0,"Teaser കണ്ടു, ഇനി സിനിമയ്ക്കായി കാത്തിരിപ്പ് മാത്രം"
@vismayavichu9936,2026-09-06T07:06:15Z,0,ശ്രീനാഥ് ഭാസിയെ കാണുമ്പോൾ തന്നെ ഒരു different energy ആണ് 🔥
@diyafathima1861,2026-09-06T07:05:49Z,0,Release date ഒന്ന് പറയൂ… waiting 🔥
@sreepathmanabhan7449,2026-09-06T07:05:22Z,0,ശ്രീനാഥ് ഭാസിയുടെ screen presence always special 🔥
@anoopanu4935,2026-09-06T07:04:56Z,0,"Teaser nice ആയിട്ടുണ്ട്, waiting for the movie ❤️"
@joshjoshwa8476,2026-09-06T07:04:27Z,0,ഭാസിയുടെ character എന്തായിരിക്കുമെന്നറിയാൻ കാത്തിരിക്കുന്നു 👀
@Kavya-gf6ef,2026-09-06T07:04:01Z,0,Credit Score teaser കണ്ടപ്പോൾ തന്നെ curiosity കൂടി
@sevyar-yd,2026-09-06T07:03:05Z,0,Credit Score teaser കണ്ടപ്പോൾ തന്നെ curiosity കൂടി
@riyas-d1h,2026-09-06T07:02:38Z,0,ശ്രീനാഥ് ഭാസി വന്നാൽ performance guaranteed 🔥
@ammusvlog9733,2026-09-06T07:02:13Z,0,ടീസർ കണ്ടിട്ട് release date അറിയാൻ ആകാംക്ഷയായി ❤️
@jacobjac1568,2026-09-06T07:01:50Z,0,ഭാസിയുടെ presence തന്നെ വേറെ level ആണ് 🔥
@asanju-rn,2026-09-06T07:01:14Z,0,🔥 സിനിമ എന്നാണ് റിലീസ്
@manumridhula,2026-09-06T07:00:43Z,0,ടീസർ കണ്ടപ്പോൾ തന്നെ സിനിമയ്ക്കായി കാത്തിരിപ്പ് തുടങ്ങി
@AnasAnu-y1s,2026-09-06T05:16:10Z,0,Sreenath Bhasi nte character ariyan waiting
@nidheeshnarayan,2026-09-06T05:15:35Z,0,Sreenath Bhasi + Credit Score = promising combo
@shiyas-l2k,2026-09-06T05:14:47Z,0,ഭാസി ബായ് 👍q
@RintoAntony-i2o,2026-09-06T05:14:04Z,0,Teaser kandappol Bhasi nte performance kurich curiosity koodi.
@Harshan.KHarsh,2026-09-06T05:13:32Z,0,Bhasi nte acting vere level aayirikkum
@AkhileshMenon-x7o,2026-09-06T05:12:54Z,0,Sreenath Bhasi ❤️ natural performer
@HarisAhammed-z6y,2026-09-06T05:12:21Z,0,Credit Scoreil Sreenath Bhasi 🔥
@AbhishekNeyyar,2026-09-06T05:11:49Z,0,Sreenath Bhasi ❤️ What a performer
@AlvinfreddyAllu,2026-09-06T05:11:16Z,0,Bhasi  vere level aanu ❤️
@SuhasRajesh,2026-09-06T05:10:14Z,0,Sreenath Bhasi polikkum 💥
@GayaGangadhar,2026-09-06T05:09:31Z,0,Teaser kandittu expectations double aayi.
@SameerAhammad-ty5ov,2026-09-06T05:08:35Z,0,Ee teaser nalla hype create cheythittundu 🔥
@AyushRaju-d6o,2026-09-06T05:07:37Z,0,Sreenadh bhasi 😍nalla പ്രതീക്ഷയുണ്ട്.
@Sudhinsudhimon,2026-09-06T05:06:44Z,0,Sreenath Bhasi + strong supporting cast = promising
@SambhuSundharan,2026-09-06T05:06:10Z,0,Sabumon nte presences interesting aanu.
@SanilMartin,2026-09-06T05:05:32Z,0,Sreenath Bhasi once again looks promising ❤️
@RahulKumar-c8s5f,2026-09-06T05:04:44Z,0,Teaser kandappol movie theatreil kaanan thonnunnu.
@HakkimS-r7w,2026-09-06T05:04:12Z,0,"Sreenath Bhasi fans, ithu miss cheyyaruthu ❤️"
@Sreeparvathi-h2v,2026-09-06T05:03:38Z,0,Credit Score ❤️ waiting for release
@SreekanthNair-w3p,2026-09-06T05:03:08Z,0,Sreenath Bhasi performance kaanan excited aanu.
@Ajayajuthekk,2026-09-06T05:02:35Z,0,Suhasini Maniratnam ❤️ classy presence
@GouthamChakkingal,2026-09-06T05:01:43Z,0,Story enthaanu ennariyaan orupaadu curiosity undu.
@AkashKg-i7k,2026-09-06T05:01:00Z,0,"Music, visuals, casting എല്ലാം promising aanu ❤️"
@PankajKavilpad,2026-09-06T05:00:26Z,0,Credit Score definitely on my watchlist
@ChithiraN-kt6rx,2026-09-06T04:59:54Z,0,Sreenath Bhasi nte screen presence always special aanu 🔥
@NikeshNarayanan-k7x,2026-09-06T04:59:21Z,0,Teaser kandappol movie interesting aayirikkumennu urappayi.
@Edwinesthapanedwi,2026-09-06T04:58:42Z,0,Suhasini Maniratnam ❤️ Great addition to the cast.
@SravanDisoosa,2026-09-06T04:58:09Z,0,Credit Score teaser really caught my attention
@PradeepPrabakaran-b1p,2026-09-06T04:57:38Z,0,Team Credit Scoreinu best wishes ❤️
@MadhuchandranChandra,2026-09-06T04:56:51Z,0,Oru fresh and different movie experience pratheekshikkunnu 🔥
@VinayNambeesan,2026-09-06T04:56:15Z,0,Teaser kandittu release date ariyan waiting
@AlanAlfred-m1m,2026-09-06T04:55:42Z,0,Credit Score 🔥 Teaser looks absolutely promising
@Aansoor-sf4kh,2026-09-06T04:54:59Z,0,Credit Score – teaser thanne ithra interesting aanenkil movie vere level aayirikkum 🔥❤️👏
@Rahul-in1lp,2026-09-05T19:39:06Z,0,💣 loading
@srikanthc.r.,2026-09-05T18:49:58Z,0,"Nice teaser with very catchy back ground music, hope this movie will make lot of noise at the box office."
@Perme_Mentalhealth,2026-09-05T18:44:48Z,0,I feel youngsters should watch it.
@toyman359,2026-09-05T17:48:45Z,0,Seems interesting ❤❤❤
@praveenprabha2988,2026-09-05T16:47:04Z,0,Great cast and promising crew 👌
@abhijithanil6953,2026-09-05T16:46:33Z,0,Ithinte making valare impressive aanu.
@SidharthSuku,2026-09-05T16:45:56Z,0,Music കേട്ടപ്പോൾ തന്നെ teaser vibe set ആയി 🎧
@NajimiyaNaji,2026-09-05T16:45:22Z,0,Malayalam cinema il fresh attempt pole thonnunnu 🔥
@LukoseK-lh4vm,2026-09-05T16:42:55Z,0,Teaser kandappol movie different aayirikkumennu thonni.
@PravinP-dj5tc,2026-09-05T16:42:14Z,0,Cinematic feel nalla strong aanu 👌
@UjwalK-co5ek,2026-09-05T16:41:24Z,0,Credit Score looks very interesting
@SivaprasadS-m8k,2026-09-05T16:39:50Z,0,Credit Score teaser definitely attention grabbing 🔥
@Valsarajksvalsaraj,2026-09-05T16:39:05Z,0,Teaserinte visuals super aanu 🔥
@AmoolyaArun,2026-09-05T16:29:49Z,0,Ithinte storyline ariyan waiting
@AhlaadhMemon,2026-09-05T16:29:17Z,0,Cinematic feel nalla strong aanu 👌
@MidhunManikkan,2026-09-05T16:23:23Z,0,Sreenath Bhasi + Suhasini combo interesting
@sanishsatheesh,2026-09-05T16:22:14Z,0,P S Jayhari music ❤️🔥
@VinayachandraChandran,2026-09-05T16:21:40Z,0,💯making impressive aanu 🔥
@HarikrishnanThankan,2026-09-05T16:21:07Z,0,Ithoru different subject aanennu teaser kandappol thonni 👏
@Sarath-i1g,2026-09-05T16:20:34Z,0,Teaser music vere level aanu 🎶
@AdwaithD.R,2026-09-05T16:20:03Z,0,Suhasini Maniratnam varunnath thanne special aanu ✨
@NavaneethSekhar-l9q,2026-09-05T16:19:26Z,0,Teaserinte presentation adipoli aanu 🔥
@mohanlalfans-h6m,2026-09-05T14:45:54Z,0,ശരിക്കും കാത്തിരുന്ന ഒരു ഐറ്റം തന്നെയാണ് ഇത്
@annamma-o8q,2026-09-05T14:45:24Z,0,Shashidhara KM movie is going to be a masterpiece
@bhagyalakshmi6727,2026-09-05T14:44:54Z,0,Jayhariyude eeh bgm vere vibe aanu
@ameliaGeorge-n9u,2026-09-05T14:44:21Z,0,സിനിമയുടെ വിഷ്വലുകൾ ഒന്നൊന്നര ലുക്ക് ഉണ്ട്
